EdgeList: [
  [35 41]
  [35 42]
  [35 43]
  [35 48]
  [35 50]
  [35 55]
  [36 44]
  [36 49]
  [36 56]
  [36 60]
  [37 40]
  [37 46]
  [37 49]
  [37 50]
  [38 42]
  [38 43]
  [38 48]
  [38 49]
  [38 52]
  [38 55]
  [38 60]
  [39 44]
  [39 53]
  [39 54]
  [39 55]
  [39 57]
  [40 43]
  [40 50]
  [40 59]
  [41 44]
  [41 45]
  [41 46]
  [41 47]
  [41 54]
  [41 57]
  [42 43]
  [42 45]
  [42 52]
  [42 53]
  [43 45]
  [43 50]
  [43 51]
  [43 52]
  [43 55]
  [44 46]
  [44 51]
  [44 52]
  [44 53]
  [44 54]
  [44 57]
  [44 59]
  [45 53]
  [45 57]
  [45 59]
  [46 59]
  [47 48]
  [47 51]
  [47 54]
  [48 49]
  [48 52]
  [48 53]
  [49 50]
  [49 53]
  [49 58]
  [50 57]
  [51 56]
  [51 60]
  [52 54]
  [52 56]
  [52 57]
  [52 59]
  [53 59]
  [53 60]
  [54 55]
  [54 60]
  [56 60]
  [57 58]
  [57 60]
  [58 60]
  [59 60]
]
